ticker,fiscal_quarter,eps_beat,next_quarter_estimated,next_quarter_actual
BR,2019-Q4,0,1.74,1.67
BR,2020-Q1,1,2.1,2.15
BR,2020-Q2,1,0.63,0.98
BR,2020-Q3,0,0.73,0.73
BR,2020-Q4,1,1.67,1.76
BR,2021-Q1,0,2.19,2.19
BR,2021-Q2,1,1.02,1.07
BR,2021-Q3,1,0.81,0.83
BR,2021-Q4,1,1.77,1.93
BR,2022-Q1,0,2.65,2.65
BR,2022-Q2,0,0.87,0.84
BR,2022-Q3,0,0.91,0.91
BR,2022-Q4,1,2.01,2.05
BR,2023-Q1,1,3.1,3.21
BR,2023-Q2,1,0.94,1.09
BR,2023-Q3,1,0.88,0.92
BR,2023-Q4,0,2.23,2.23
BR,2024-Q1,1,3.48,3.5
BR,2024-Q2,0,1.0,1.0
BR,2024-Q3,1,1.39,1.56
BR,2024-Q4,1,2.39,2.44
BR,2025-Q1,1,3.51,3.55
BR,2025-Q2,1,1.19,1.51
C,2014-Q4,1,1.39,1.52
C,2015-Q1,1,1.35,1.45
C,2015-Q2,1,1.29,1.31
C,2015-Q3,1,1.04,1.06
C,2015-Q4,1,1.04,1.11
C,2016-Q1,1,1.09,1.25
C,2016-Q2,1,1.16,1.25
C,2016-Q3,1,1.12,1.14
C,2016-Q4,1,1.24,1.36
C,2017-Q1,1,1.21,1.27
C,2017-Q2,1,1.32,1.42
C,2017-Q3,1,1.19,1.28
C,2017-Q4,1,1.61,1.68
C,2018-Q1,1,1.54,1.62
C,2018-Q2,1,1.66,1.74
C,2018-Q3,1,1.55,1.61
C,2018-Q4,1,1.78,1.87
C,2019-Q1,1,1.78,1.83
C,2019-Q2,1,1.96,1.98
C,2019-Q3,1,1.82,1.9
C,2019-Q4,1,0.89,1.06
C,2020-Q1,1,0.47,0.5
C,2020-Q2,1,1.01,1.4
C,2020-Q3,1,1.35,2.07
C,2020-Q4,1,2.56,3.62
C,2021-Q1,1,1.94,2.84
C,2021-Q2,1,1.92,2.49
C,2021-Q3,1,1.89,1.99
C,2021-Q4,1,1.74,2.02
C,2022-Q1,1,1.67,2.3
C,2022-Q2,1,1.46,1.5
C,2022-Q3,0,1.18,1.1
C,2022-Q4,1,1.66,1.86
C,2023-Q1,1,1.31,1.37
C,2023-Q2,1,1.26,1.52
C,2023-Q3,1,0.73,0.84
C,2023-Q4,1,1.29,1.58
C,2024-Q1,1,1.4,1.52
C,2024-Q2,1,1.34,1.51
C,2024-Q3,1,1.25,1.34
C,2024-Q4,1,1.84,1.96
C,2025-Q1,1,1.61,1.96
C,2025-Q2,1,1.91,2.24
C,2025-Q3,1,1.65,1.81
DAL,2014-Q4,1,0.44,0.45
DAL,2015-Q1,1,1.22,1.27
DAL,2015-Q2,1,1.71,1.74
DAL,2015-Q3,0,1.19,1.18
DAL,2015-Q4,1,1.29,1.32
DAL,2016-Q1,1,1.42,1.47
DAL,2016-Q2,1,1.65,1.7
DAL,2016-Q3,0,0.82,0.82
DAL,2016-Q4,1,0.73,0.77
DAL,2017-Q1,0,1.66,1.64
DAL,2017-Q2,1,1.54,1.57
DAL,2017-Q3,1,0.88,0.96
DAL,2017-Q4,1,0.73,0.74
DAL,2018-Q1,1,1.72,1.77
DAL,2018-Q2,1,1.74,1.8
DAL,2018-Q3,1,1.27,1.3
DAL,2018-Q4,1,0.9,0.96
DAL,2019-Q1,1,2.29,2.35
DAL,2019-Q2,1,2.27,2.32
DAL,2019-Q3,1,1.4,1.7
DAL,2019-Q4,1,-0.72,-0.51
DAL,2020-Q1,0,-3.97,-4.43
DAL,2020-Q2,0,-3.14,-3.3
DAL,2020-Q3,0,-2.43,-2.53
DAL,2020-Q4,0,-3.08,-3.55
DAL,2021-Q1,1,-1.41,-1.07
DAL,2021-Q2,1,0.15,0.3
DAL,2021-Q3,1,0.15,0.22
DAL,2021-Q4,1,-1.28,-1.23
DAL,2022-Q1,0,1.71,1.44
DAL,2022-Q2,0,1.56,1.51
DAL,2022-Q3,1,1.31,1.48
DAL,2022-Q4,0,0.29,0.25
DAL,2023-Q1,1,2.42,2.68
DAL,2023-Q2,1,1.92,2.03
DAL,2023-Q3,1,1.17,1.28
DAL,2023-Q4,1,0.36,0.45
DAL,2024-Q1,0,2.37,2.36
DAL,2024-Q2,0,1.56,1.5
DAL,2024-Q3,1,1.76,1.85
DAL,2024-Q4,1,0.4,0.46
DAL,2025-Q1,1,2.04,2.1
DAL,2025-Q2,1,1.52,1.71
DAL,2025-Q3,1,1.53,1.55
GS,2014-Q4,1,4.18,5.94
GS,2015-Q1,1,3.7,4.75
GS,2015-Q2,0,3.08,2.9
GS,2015-Q3,1,3.79,4.68
GS,2015-Q4,1,2.57,2.68
GS,2016-Q1,1,3.01,3.72
GS,2016-Q2,1,3.86,4.88
GS,2016-Q3,1,4.76,5.08
GS,2016-Q4,0,5.38,5.15
GS,2017-Q1,1,3.36,3.95
GS,2017-Q2,1,4.31,5.02
GS,2017-Q3,1,4.9,5.68
GS,2017-Q4,1,5.67,6.95
GS,2018-Q1,1,4.67,5.98
GS,2018-Q2,1,5.42,6.28
GS,2018-Q3,1,4.88,6.04
GS,2018-Q4,1,4.74,5.71
GS,2019-Q1,1,4.73,5.81
GS,2019-Q2,0,5.03,4.79
GS,2019-Q3,0,5.2,4.69
GS,2019-Q4,1,2.83,3.11
GS,2020-Q1,1,3.97,6.26
GS,2020-Q2,1,5.58,9.68
GS,2020-Q3,1,6.99,12.08
GS,2020-Q4,1,9.79,18.6
GS,2021-Q1,1,9.9,15.02
GS,2021-Q2,1,9.78,14.93
GS,2021-Q3,0,12.1,10.81
GS,2021-Q4,1,8.61,10.76
GS,2022-Q1,1,6.99,7.73
GS,2022-Q2,1,7.47,8.25
GS,2022-Q3,0,5.25,3.32
GS,2022-Q4,1,8.14,8.79
GS,2023-Q1,0,3.25,3.08
GS,2023-Q2,1,5.32,5.47
GS,2023-Q3,1,3.47,5.48
GS,2023-Q4,1,8.54,11.58
GS,2024-Q1,1,8.52,8.62
GS,2024-Q2,1,6.85,8.4
GS,2024-Q3,1,8.07,11.95
GS,2024-Q4,1,12.71,14.12
GS,2025-Q1,1,9.43,10.91
GS,2025-Q2,1,11.11,12.25
GS,2025-Q3,1,11.77,14.01
JPM,2014-Q4,1,1.39,1.45
JPM,2015-Q1,1,1.44,1.54
JPM,2015-Q2,0,1.38,1.32
JPM,2015-Q3,1,1.26,1.35
JPM,2015-Q4,1,1.26,1.35
JPM,2016-Q1,1,1.43,1.55
JPM,2016-Q2,1,1.4,1.58
JPM,2016-Q3,1,1.42,1.71
JPM,2016-Q4,1,1.51,1.65
JPM,2017-Q1,1,1.57,1.82
JPM,2017-Q2,1,1.67,1.76
JPM,2017-Q3,1,1.69,1.76
JPM,2017-Q4,1,2.28,2.37
JPM,2018-Q1,1,2.22,2.29
JPM,2018-Q2,1,2.24,2.34
JPM,2018-Q3,0,2.2,1.98
JPM,2018-Q4,1,2.32,2.65
JPM,2019-Q1,1,2.5,2.59
JPM,2019-Q2,1,2.44,2.68
JPM,2019-Q3,1,2.32,2.57
JPM,2019-Q4,0,1.7,0.78
JPM,2020-Q1,1,1.34,1.38
JPM,2020-Q2,1,2.35,2.92
