Earnings Date,EPS Estimate,Reported EPS,fiscal_quarter_end,estimated_eps,actual_eps,fiscal_quarter,ticker
2005-07-20 10:00:00,0.65,0.66,2005-07-20,0.65,0.66,2005-Q3,JPM
2005-10-19 10:00:00,0.72,0.75,2005-10-19,0.72,0.75,2005-Q4,JPM
2006-01-18 12:00:00,0.73,0.73,2006-01-18,0.73,0.73,2006-Q1,JPM
2006-04-19 10:00:00,0.83,0.86,2006-04-19,0.83,0.86,2006-Q2,JPM
2006-07-19 10:00:00,0.87,0.92,2006-07-19,0.87,0.92,2006-Q3,JPM
2006-10-18 10:00:00,0.86,0.91,2006-10-18,0.86,0.91,2006-Q4,JPM
2007-01-17 12:00:00,0.94,1.01,2007-01-17,0.94,1.01,2007-Q1,JPM
2007-04-18 10:00:00,1.02,1.23,2007-04-18,1.02,1.23,2007-Q2,JPM
2007-07-18 10:00:00,1.08,1.2,2007-07-18,1.08,1.2,2007-Q3,JPM
2007-10-17 10:00:00,0.9,0.97,2007-10-17,0.9,0.97,2007-Q4,JPM
2008-01-16 11:00:00,0.91,0.86,2008-01-16,0.91,0.86,2008-Q1,JPM
2008-04-16 10:00:00,0.65,0.68,2008-04-16,0.65,0.68,2008-Q2,JPM
2008-07-17 10:00:00,0.44,0.54,2008-07-17,0.44,0.54,2008-Q3,JPM
2008-10-15 10:00:00,-0.29,-0.06,2008-10-15,-0.29,-0.06,2008-Q4,JPM
2009-01-15 11:00:00,0.01,-0.28,2009-01-15,0.01,-0.28,2009-Q1,JPM
2009-04-16 10:00:00,0.3,0.4,2009-04-16,0.3,0.4,2009-Q2,JPM
2009-07-16 10:00:00,0.06,0.28,2009-07-16,0.06,0.28,2009-Q3,JPM
2009-10-14 10:00:00,0.53,0.82,2009-10-14,0.53,0.82,2009-Q4,JPM
2010-01-15 11:00:00,0.61,0.74,2010-01-15,0.61,0.74,2010-Q1,JPM
2010-04-14 09:00:00,0.64,0.74,2010-04-14,0.64,0.74,2010-Q2,JPM
2010-07-15 10:00:00,0.74,1.09,2010-07-15,0.74,1.09,2010-Q3,JPM
2010-10-13 10:00:00,0.9,1.01,2010-10-13,0.9,1.01,2010-Q4,JPM
2011-01-14 12:00:00,1.01,1.12,2011-01-14,1.01,1.12,2011-Q1,JPM
2011-04-13 10:00:00,1.16,1.28,2011-04-13,1.16,1.28,2011-Q2,JPM
2011-07-14 10:00:00,1.2,1.27,2011-07-14,1.2,1.27,2011-Q3,JPM
2011-10-13 10:00:00,0.91,1.02,2011-10-13,0.91,1.02,2011-Q4,JPM
2012-01-13 11:00:00,0.91,0.9,2012-01-13,0.91,0.9,2012-Q1,JPM
2012-04-13 11:00:00,1.17,1.31,2012-04-13,1.17,1.31,2012-Q2,JPM
2012-07-13 10:00:00,0.82,1.21,2012-07-13,0.82,1.21,2012-Q3,JPM
2012-10-12 10:00:00,1.23,1.4,2012-10-12,1.23,1.4,2012-Q4,JPM
2013-01-16 11:00:00,1.21,1.39,2013-01-16,1.21,1.39,2013-Q1,JPM
2013-04-12 10:00:00,1.38,1.59,2013-04-12,1.38,1.59,2013-Q2,JPM
2013-07-12 10:00:00,1.45,1.6,2013-07-12,1.45,1.6,2013-Q3,JPM
2013-10-11 10:00:00,1.28,1.42,2013-10-11,1.28,1.42,2013-Q4,JPM
2014-01-14 11:00:00,1.33,1.4,2014-01-14,1.33,1.4,2014-Q1,JPM
2014-04-11 11:00:00,1.4,1.28,2014-04-11,1.4,1.28,2014-Q2,JPM
2014-07-15 10:00:00,1.3,1.46,2014-07-15,1.3,1.46,2014-Q3,JPM
2014-10-14 10:00:00,1.38,1.62,2014-10-14,1.38,1.62,2014-Q4,JPM
2015-01-14 11:00:00,1.32,1.19,2015-01-14,1.32,1.19,2015-Q1,JPM
2015-04-14 11:00:00,1.41,1.45,2015-04-14,1.41,1.45,2015-Q2,JPM
