ticker,fiscal_quarter,p_text,actual,model_id
DAL,2025-Q2,0.896739232,1,run_012
DAL,2025-Q3,0.732869723,1,run_012
GS,2023-Q1,0.895027625,0,run_012
GS,2023-Q2,0.854931342,1,run_012
GS,2023-Q3,0.83933062,1,run_012
GS,2023-Q4,0.843718394,1,run_012
GS,2024-Q1,0.902403134,1,run_012
GS,2024-Q2,0.740811068,1,run_012
GS,2024-Q3,0.873178215,1,run_012
GS,2024-Q4,0.723559526,1,run_012
GS,2025-Q1,0.674255699,1,run_012
GS,2025-Q2,0.848229717,1,run_012
GS,2025-Q3,0.812719514,1,run_012
INTC,2023-Q1,0.807928822,1,run_012
INTC,2023-Q2,0.882338155,1,run_012
INTC,2023-Q3,0.93007809,1,run_012
INTC,2023-Q4,0.873295971,0,run_012
INTC,2024-Q1,0.732031901,0,run_012
INTC,2024-Q2,0.731568657,0,run_012
INTC,2024-Q3,0.865618276,1,run_012
INTC,2024-Q4,0.813233229,1,run_012
INTC,2025-Q1,0.829718771,0,run_012
INTC,2025-Q2,0.893525344,1,run_012
INTC,2025-Q3,0.918676169,1,run_012
JPM,2023-Q1,0.788067362,1,run_012
JPM,2023-Q2,0.905012397,1,run_012
JPM,2023-Q3,0.81742034,1,run_012
JPM,2023-Q4,0.847594852,1,run_012
JPM,2024-Q1,0.709387699,1,run_012
JPM,2024-Q2,0.828889459,1,run_012
JPM,2024-Q3,0.836280835,1,run_012
JPM,2024-Q4,0.740434793,1,run_012
JPM,2025-Q1,0.759588668,1,run_012
JPM,2025-Q2,0.846055927,1,run_012
JPM,2025-Q3,0.633153134,1,run_012
MS,2023-Q1,0.871002209,1,run_012
MS,2023-Q2,0.928919377,1,run_012
MS,2023-Q3,0.851275406,1,run_012
MS,2023-Q4,0.799466166,1,run_012
MS,2024-Q1,0.861304253,1,run_012
MS,2024-Q2,0.881583572,1,run_012
MS,2024-Q3,0.895932067,1,run_012
MS,2024-Q4,0.848958243,1,run_012
MS,2025-Q1,0.778872565,1,run_012
MS,2025-Q2,0.957665028,1,run_012
MS,2025-Q3,0.890961276,1,run_012
MSFT,2023-Q1,0.821835032,1,run_012
MSFT,2023-Q2,0.881664574,1,run_012
MSFT,2023-Q3,0.953991306,1,run_012
MSFT,2023-Q4,0.934990159,1,run_012
MSFT,2024-Q1,0.923889536,1,run_012
MSFT,2024-Q2,0.909951311,1,run_012
MSFT,2024-Q3,0.890997282,1,run_012
MSFT,2024-Q4,0.820464812,1,run_012
MSFT,2025-Q1,0.908742961,1,run_012
MSFT,2025-Q2,0.965681783,1,run_012
MSFT,2025-Q3,0.908028853,1,run_012
MTB,2023-Q1,0.875185237,1,run_012
MTB,2023-Q2,0.875899193,1,run_012
MTB,2023-Q3,0.854750867,0,run_012
MTB,2023-Q4,0.797923838,0,run_012
MTB,2024-Q1,0.801757603,1,run_012
MTB,2024-Q2,0.833250576,1,run_012
MTB,2024-Q3,0.869973125,1,run_012
MTB,2024-Q4,0.877517958,0,run_012
MTB,2025-Q1,0.941901648,1,run_012
MTB,2025-Q2,0.937548327,1,run_012
MTB,2025-Q3,0.898051171,1,run_012
NFLX,2023-Q1,0.514397928,1,run_012
NFLX,2023-Q2,0.541816706,1,run_012
NFLX,2023-Q3,0.546298897,0,run_012
NFLX,2023-Q4,0.611729394,1,run_012
NFLX,2024-Q1,0.645840346,1,run_012
NFLX,2024-Q2,0.754190545,1,run_012
NFLX,2024-Q3,0.689099049,1,run_012
NFLX,2024-Q4,0.702062296,1,run_012
NFLX,2025-Q1,0.76307607,1,run_012
NFLX,2025-Q2,0.749114445,0,run_012
NFLX,2025-Q3,0.792270829,1,run_012
NOW,2023-Q1,0.528014508,1,run_012
NOW,2023-Q2,0.744372193,1,run_012
NOW,2023-Q3,0.688514483,0,run_012
NOW,2023-Q4,0.821416333,1,run_012
NOW,2024-Q1,0.675946568,1,run_012
NOW,2024-Q2,0.629979382,1,run_012
NOW,2024-Q3,0.650616264,1,run_012
NOW,2024-Q4,0.71737417,1,run_012
NOW,2025-Q1,0.667219951,1,run_012
NOW,2025-Q2,0.663199635,1,run_012
NOW,2025-Q3,0.687764975,1,run_012
NVDA,2023-Q1,0.701102614,1,run_012
NVDA,2023-Q2,0.43709291,1,run_012
NVDA,2023-Q3,0.671856478,1,run_012
NVDA,2023-Q4,0.754987294,1,run_012
NVDA,2024-Q1,0.69205105,1,run_012
NVDA,2024-Q2,0.787185393,1,run_012
NVDA,2024-Q3,0.815361043,1,run_012
NVDA,2024-Q4,0.813364009,1,run_012
NVDA,2025-Q1,0.641980034,0,run_012
NVDA,2025-Q2,0.611509328,1,run_012
NVDA,2025-Q3,0.745525026,1,run_012
PNC,2023-Q1,0.853719021,1,run_012
PNC,2023-Q2,0.887371738,1,run_012
PNC,2023-Q3,0.898456334,1,run_012
PNC,2023-Q4,0.822099948,1,run_012
PNC,2024-Q1,0.893342607,1,run_012
PNC,2024-Q3,0.928561994,1,run_012
PNC,2024-Q4,0.911978839,1,run_012
PNC,2025-Q1,0.88059284,1,run_012
PNC,2025-Q2,0.9589099,1,run_012
PNC,2025-Q3,0.878626458,1,run_012
QCOM,2023-Q1,0.882887689,1,run_012
QCOM,2023-Q2,0.888543291,1,run_012
QCOM,2023-Q3,0.888016106,1,run_012
QCOM,2023-Q4,0.921875788,1,run_012
QCOM,2024-Q1,0.906187383,1,run_012
QCOM,2024-Q2,0.835451986,1,run_012
QCOM,2024-Q3,0.875374533,1,run_012
QCOM,2024-Q4,0.849951605,1,run_012
QCOM,2025-Q1,0.879613109,1,run_012
QCOM,2025-Q2,0.848298932,1,run_012
QCOM,2025-Q3,0.891388765,0,run_012
SHOP,2023-Q1,0.806727605,0,run_012
SHOP,2023-Q2,0.818762698,1,run_012
SHOP,2023-Q3,0.836750702,1,run_012
SHOP,2023-Q4,0.744150761,1,run_012
SHOP,2024-Q1,0.869047016,1,run_012
SHOP,2024-Q2,0.834422962,1,run_012
SHOP,2024-Q3,0.734726165,0,run_012
SHOP,2024-Q4,0.757132699,1,run_012
SHOP,2025-Q1,0.699513371,1,run_012
SHOP,2025-Q2,0.734284388,1,run_012
SHOP,2025-Q3,0.762543446,0,run_012
STT,2023-Q1,0.776891459,1,run_012
STT,2023-Q2,0.749869607,1,run_012
STT,2023-Q3,0.747014403,1,run_012
STT,2023-Q4,0.698612122,1,run_012
STT,2024-Q1,0.77394518,1,run_012
STT,2024-Q2,0.785701424,1,run_012
STT,2024-Q3,0.840442583,1,run_012
STT,2024-Q4,0.56793138,1,run_012
STT,2025-Q1,0.874291623,1,run_012
STT,2025-Q2,0.881678801,1,run_012
STT,2025-Q3,0.786781398,1,run_012
TSLA,2023-Q1,0.688559201,1,run_012
TSLA,2023-Q2,0.680023811,0,run_012
TSLA,2023-Q3,0.520250926,0,run_012
TSLA,2023-Q4,0.561731122,0,run_012
TSLA,2024-Q1,0.678238145,0,run_012
TSLA,2024-Q2,0.712497908,1,run_012
TSLA,2024-Q3,0.862713999,1,run_012
TSLA,2024-Q4,0.556033708,0,run_012
TSLA,2025-Q1,0.462039977,0,run_012
TSLA,2025-Q2,0.719339606,0,run_012
TSLA,2025-Q3,0.774827825,0,run_012
TSM,2023-Q1,0.807701151,1,run_012
TSM,2023-Q2,0.74439607,1,run_012
TSM,2023-Q3,0.807798454,1,run_012
TSM,2023-Q4,0.821561851,1,run_012
TSM,2024-Q1,0.741750081,1,run_012
TSM,2024-Q2,0.814187114,1,run_012
TSM,2024-Q3,0.809755608,1,run_012
TSM,2024-Q4,0.901331637,1,run_012
TSM,2025-Q1,0.7821608,1,run_012
TSM,2025-Q2,0.755978167,1,run_012
TSM,2025-Q3,0.859751144,1,run_012
WFC,2023-Q1,0.836111606,1,run_012
WFC,2023-Q2,0.921834034,1,run_012
WFC,2023-Q3,0.857033256,1,run_012
WFC,2023-Q4,0.874296505,1,run_012
WFC,2024-Q1,0.871817323,1,run_012
WFC,2024-Q2,0.846792309,1,run_012
WFC,2024-Q3,0.923807027,1,run_012
WFC,2024-Q4,0.949556947,1,run_012
WFC,2025-Q1,0.77712849,1,run_012
WFC,2025-Q2,0.825740013,1,run_012
WFC,2025-Q3,0.838296653,1,run_012
